PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2006,15.47,17.76,17.22,17.62,17.36,18.27,18.03,20.95,22.89,22.42,20.14,16.96,18.75
ALLSKY_SFC_SW_DWN,2007,19.08,15.45,17.06,16.49,16.91,16.31,18.83,20.63,22.08,19.64,18.95,15.74,18.12
ALLSKY_SFC_SW_DWN,2008,18.42,12.83,17.38,17.2,18.6,17.26,19.87,17.87,21.06,18.9,16.94,16.45,17.75
ALLSKY_SFC_SW_DWN,2009,15.22,14.48,20.24,17.65,16.67,17.18,19.24,20.31,21.64,20.36,17.24,17.69,18.19
ALLSKY_SFC_SW_DWN,2010,16.0,17.83,17.92,19.03,16.42,14.71,15.36,17.95,16.68,17.86,17.36,15.44,16.87
ALLSKY_SFC_SW_DWN,2011,14.98,16.38,17.35,17.55,16.56,17.9,18.03,20.52,21.66,19.24,17.11,17.08,17.87
ALLSKY_SFC_SW_DWN,2012,15.78,18.06,17.71,17.38,18.0,17.81,18.88,21.33,21.88,19.66,17.82,16.71,18.42
ALLSKY_SFC_SW_DWN,2013,15.11,17.35,18.8,16.72,15.76,15.41,14.83,20.84,21.55,20.85,18.49,16.2,17.66
ALLSKY_SFC_SW_DWN,2014,13.4,13.7,17.25,18.59,17.45,15.26,15.94,19.86,22.88,20.67,18.59,16.69,17.54
ALLSKY_SFC_SW_DWN,2015,16.52,16.11,17.76,16.67,18.41,18.18,19.08,20.64,21.89,20.82,19.16,17.65,18.59
ALLSKY_SFC_SW_DWN,2016,17.91,14.97,17.49,17.59,15.96,15.44,17.45,17.69,18.04,16.43,17.09,17.87,17.01
ALLSKY_SFC_SW_DWN,2017,17.51,14.96,17.8,17.49,17.12,15.45,17.09,19.97,20.41,19.36,17.05,16.89,17.61
ALLSKY_SFC_SW_DWN,2018,16.09,16.02,17.97,18.56,18.28,17.01,19.29,19.52,21.26,20.87,17.95,17.76,18.4
ALLSKY_SFC_SW_DWN,2019,16.21,18.97,17.15,17.64,18.58,18.37,19.15,20.41,22.32,22.46,21.02,17.89,19.18
ALLSKY_SFC_SW_DWN,2020,15.74,14.52,17.44,17.29,15.94,17.15,17.55,19.26,21.08,18.31,18.35,15.94,17.38
